request_id,age,spoke_with_agent,documents_send,documents_recieved,flag,delivery_pickup,session_duration,bounce_rate,sessions,visited_partners,step_1,step_2,step_3,user_type
853b5d24c44a1bd3255c679fe10ae1fd,45,0,0,0,0,not_stated,0.0,1.0,1,0,0,0,0,new
853b5d24c44a1bd3255c679fe10ae1fd,45,0,0,0,0,delivery,171.0,0.0,1,0,1,0,0,old
7ae319b1bd27ca5eaf622a9421a3014d,31,1,0,0,0,pickup,40.0,0.0,1,0,0,0,0,new
06993ceab2ede613bce365880572460c,23,1,0,0,0,pickup,229.0,0.0,2,1,2,0,0,new
d9bf61f493e7e37df134a2e1284ccd00,29,1,0,0,0,pickup,152.0,0.0,1,1,0,0,0,old
d9bf61f493e7e37df134a2e1284ccd00,29,1,0,0,0,not_stated,0.0,1.0,1,0,0,0,0,new
90dd7c50afd37c89497a97237da2c97e,25,0,0,0,0,delivery,76.0,0.0,1,0,1,0,0,new
3a3398194ec00a6d7245004c9720ae0f,33,1,0,0,0,pickup,184.0,0.0,1,0,1,0,0,new
ceaa15fdfb170dd7b5eadb4c0166a799,20,0,0,0,0,pickup,127.0,0.0,1,0,0,0,0,new
682427b44f8e5adf1e6ce5df7c282040,36,0,0,0,0,pickup,299.5,0.0,2,0,2,0,0,new
09d8d2258b61a59deae6acd1dddfbba6,33,1,0,0,0,not_stated,0.0,1.0,1,0,0,0,0,new
09d8d2258b61a59deae6acd1dddfbba6,33,1,0,0,0,pickup,141.0,0.0,1,0,0,0,0,old
f9d3394bc017f511f3080fdde2e75b32,36,1,0,0,0,pickup,65.0,0.0,1,0,0,0,0,new
a9f4c12def75358ccdd478dd2816af1a,26,1,0,0,0,not_stated,0.0,1.0,1,0,0,0,0,new
a9f4c12def75358ccdd478dd2816af1a,26,1,0,0,0,pickup,36.0,0.0,1,0,1,0,0,old
f0562c798f7cad4720e019b5790a65f9,33,0,0,0,0,pickup,46.0,0.0,1,0,0,0,0,new
6ba9960ade2e6e94347d222baeff57c3,42,1,0,0,0,delivery,957.0,0.0,1,0,1,0,0,new
055280383328f99b9d363c3c502471db,24,1,0,0,0,pickup,34.0,0.0,1,0,1,0,0,old
722b7dd35c33c920e540b94c2429715e,30,1,0,0,0,pickup,72.0,0.0,1,0,0,0,0,new
2a553cbe1cea07856c8b3f0f3349d736,27,0,0,0,0,pickup,64.2,0.0,5,0,5,0,0,old
a15e48b552b465306b28e1f81f6a0345,23,1,0,0,0,pickup,94.0,0.0,1,0,1,0,0,old
a15e48b552b465306b28e1f81f6a0345,23,1,0,0,0,not_stated,0.0,1.0,1,0,0,0,0,new
ce2cd1fceacb7bb4936c0b0b5c661ca3,21,1,0,0,0,pickup,401.0,0.0,1,0,1,0,0,new
9fb30502f16b878cef66dafa10757115,30,0,0,0,0,pickup,168.0,0.0,1,0,0,0,0,new
d1c7e464e327a11cd235a339123d6b86,37,1,0,0,0,pickup,86.666666666666671,0.33333333333333337,3,0,3,0,0,new
129d612449781f260eef077d79f0e877,57,0,0,0,0,pickup,264.0,0.0,1,0,0,0,0,new
b6cbc0db9736c0270959983306de8813,31,0,0,0,0,delivery,118.0,0.0,1,0,1,0,0,new
65bd3c79a043dbff068b992f8abe0cf6,36,1,0,0,0,pickup,117.0,0.0,1,0,0,0,0,new
2adff1582db2d9ca4b090d8051cbb6a8,30,1,0,0,0,pickup,98.0,0.0,1,0,0,0,0,new
ac3ea43c9f8ec8897e6eb684c4fb622d,20,1,0,0,0,not_stated,98.0,0.0,1,0,0,0,0,new
0d3f1ce677f7886622cf3c8b9ce38fe2,33,1,0,0,0,pickup,78.0,0.0,1,0,1,0,0,new
3dbb858bc2e4e9ee1a0d77067d6ce405,35,1,0,0,0,pickup,137.0,0.0,1,0,1,0,1,new
049445f9e05abb874209d6255ec69e8b,26,1,0,0,0,pickup,186.0,0.0,1,0,0,0,0,new
60fe9f5e6b4c858621b25114f973099a,23,1,0,0,0,pickup,22.25,0.0,4,0,4,0,0,new
a9202f72a5d8f27a3c6015a1ee775d07,40,1,0,0,0,pickup,170.0,0.0,1,0,1,0,1,new
8f9c34d8387533ae85e146b1a0bacd6b,40,1,0,0,0,pickup,754.0,0.0,1,1,1,0,0,old
8f9c34d8387533ae85e146b1a0bacd6b,40,1,0,0,0,not_stated,0.0,1.0,2,0,0,0,0,new
ab80391894d42d0aec48a2a303c24682,27,1,0,0,0,delivery,108.0,0.0,1,0,1,0,0,new
9ab4a4139fa0c5533e2817166867f1a6,32,1,0,0,0,delivery,248.0,0.0,1,0,1,0,0,new
9867b655a2c1dab68a3daa3b697e44cb,21,1,0,0,0,pickup,520.0,0.0,1,0,1,0,1,new
bddeb10892df7b4303366f7f748477dc,26,0,0,0,0,pickup,110.0,0.0,1,0,1,0,0,new
6f585eaf318abab338673f98db840547,33,1,0,0,0,pickup,188.0,0.0,1,0,1,0,1,new
69717fa7091b541dbe105f22356d2ce8,44,1,0,0,0,pickup,73.0,0.0,1,0,0,0,0,new
e2f6b177d0fa208c9c6fe2b669b38249,34,1,0,0,0,pickup,97.0,0.0,1,0,1,0,0,new
94eb058429697b2ddc5dbff7fbba732c,39,1,0,0,0,pickup,51.0,0.0,1,0,0,0,0,new
5605ac075caf3806a2de3835f34cbd06,36,1,0,0,0,pickup,625.0,0.0,1,0,1,0,1,new
5a9c071843f289c88e3cfcaed755297e,25,1,0,0,0,pickup,738.0,0.0,1,0,0,0,0,old
